Timestamp,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2021-01-01,82.67428571428572,90.88714285714286,10.374285714285715,8.245714285714286,4.757142857142857,22.842105263157894,22.96315789473684,48.86578947368421,Good
2021-01-02,80.87666666666667,85.31416666666667,11.4,10.165833333333333,5.02375,26.681250000000002,20.987916666666667,85.60916666666667,Satisfactory
2021-01-03,74.21,72.86291666666666,13.54125,14.49125,5.118333333333333,22.74875,28.02916666666667,74.64291666666666,Satisfactory
2021-01-04,52.2047619047619,62.70875,11.829166666666666,10.73375,5.139166666666667,21.847083333333334,22.23875,62.70875,Satisfactory
2021-01-05,39.02090909090909,50.272608695652174,14.248333333333333,9.897083333333333,5.05,29.404583333333335,23.756666666666664,50.48291666666666,Satisfactory
2021-01-06,19.472916666666666,20.77125,11.999583333333334,6.201250000000001,4.5441666666666665,27.780833333333334,23.607083333333335,28.29375,Good
2021-01-07,30.42,30.783749999999998,12.032916666666667,6.15375,4.565416666666667,27.481666666666666,20.085,32.57541666666667,Good
2021-01-08,23.77916666666667,30.973333333333333,11.228333333333333,7.6258333333333335,4.321666666666666,26.506666666666664,21.053333333333335,31.035416666666666,Good
2021-01-09,30.287499999999998,45.277727272727276,11.7575,7.964166666666666,4.889583333333333,29.08666666666667,22.411666666666665,44.33208333333334,Good
2021-01-10,56.657826086956526,63.920869565217394,13.934583333333334,9.050833333333333,5.677916666666667,25.5925,21.21125,62.92208333333334,Satisfactory
2021-01-11,72.59083333333334,79.23791666666666,14.96125,10.42625,5.739583333333333,24.42958333333333,26.08791666666667,79.23791666666666,Satisfactory
2021-01-12,71.8775,88.22000000000001,17.86375,10.029583333333333,5.529166666666666,22.202083333333334,26.729583333333334,88.22000000000001,Satisfactory
2021-01-13,135.35458333333335,109.42458333333333,16.2625,10.139583333333333,6.09875,31.19666666666667,25.422916666666666,139.34416666666667,Moderate
2021-01-14,111.14125,98.44666666666666,12.042083333333332,8.7175,10.459166666666667,26.942916666666665,27.940833333333334,112.25625000000001,Moderate
2021-01-15,96.24315789473685,89.81958333333334,9.485416666666667,7.489999999999999,10.484583333333333,27.332083333333333,22.47666666666667,95.51291666666667,Satisfactory
2021-01-16,89.63291666666667,90.78125,10.994166666666667,8.284166666666666,5.360416666666667,28.042916666666667,18.938750000000002,90.78541666666666,Satisfactory
2021-01-17,62.922083333333326,75.56416666666667,11.754583333333334,8.059166666666666,4.412083333333333,26.514583333333334,13.996666666666668,75.56416666666667,Satisfactory
2021-01-18,53.2495,64.83666666666666,11.000833333333333,7.4325,4.01625,21.28291666666667,14.79125,64.83666666666666,Satisfactory
2021-01-19,67.98875,85.44739130434782,14.304583333333333,9.566666666666666,4.421666666666667,23.059583333333332,18.468333333333334,85.27791666666667,Satisfactory
2021-01-20,104.40625,115.295,17.16,9.96375,6.174166666666667,25.73875,27.53625,115.295,Moderate
2021-01-21,108.87695652173913,114.43708333333332,14.68,5.5575,6.405833333333334,31.65416666666667,25.290833333333335,114.59541666666667,Moderate
2021-01-22,64.86375,83.35043478260869,12.131666666666668,5.465,5.391666666666667,29.456666666666667,24.961249999999996,83.47875,Satisfactory
2021-01-23,42.484,65.88958333333333,12.640416666666667,5.376666666666666,3.9608333333333334,25.586249999999996,18.86375,65.88958333333333,Satisfactory
2021-01-24,65.81391304347827,89.89458333333333,14.55375,5.288333333333333,4.104166666666667,32.03916666666667,14.449583333333335,89.89458333333333,Satisfactory
