Date,NO,NOx,Benzene,Toluene,AT,RH,WS,WD,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2021-01-01,131.36,169.79,10.57,93.7,14.300000000000002,74.83,0.49,142.19,155.31,972.25,431.5,416.3500000000001,132.02,36.03,14.61,116.73666666666666,46.567499999999995,116.73666666666666,Moderate
2021-01-02,93.54166666666667,131.19541666666666,10.541666666666666,72.92708333333333,14.638333333333334,73.08375,0.48625,133.01041666666666,112.34166666666665,972.1504166666667,426.41083333333336,378.72791666666666,119.59458333333333,41.612500000000004,14.14875,115.17666666666668,28.84125,426.41083333333336,Severe
2021-01-03,47.05625,79.34875,7.942916666666666,44.81,15.945833333333333,71.66666666666667,0.62125,127.99708333333332,77.35125000000001,972.28625,384.50416666666666,276.11041666666665,95.674375,36.99791666666667,13.7725,102.33958333333334,26.985833333333332,384.50416666666666,Severe
2021-01-04,62.274166666666666,83.02499999999999,4.853333333333333,32.96041666666667,16.586666666666666,89.12916666666666,0.5404166666666667,147.70166666666668,96.00708333333334,971.82875,243.52958333333333,234.1966666666667,75.69125,22.656666666666666,14.8075,102.98333333333333,28.396666666666665,261.14208333333335,Poor
2021-01-05,73.4525,95.98708333333333,4.3687499999999995,47.86416666666667,18.19625,83.07208333333334,0.4166666666666667,182.77958333333333,122.50916666666666,973.3770833333333,210.68499999999997,195.65354166666665,84.82791666666667,30.81833333333333,13.415,91.11333333333333,33.223333333333336,214.93708333333333,Moderate
2021-01-06,88.80874999999999,101.29416666666667,3.9112500000000003,47.35208333333333,18.18583333333333,83.62458333333333,0.3675,155.85375,124.96375,973.5229166666667,279.84,171.11749999999998,67.80166666666666,33.60208333333333,12.30375,103.14291666666666,34.70708333333334,268.75708333333336,Very Poor
2021-01-07,95.61166666666666,106.42750000000001,5.4025,40.74708333333333,18.10625,83.34416666666667,0.34874999999999995,246.74,129.57833333333335,973.44625,317.065,174.25833333333333,66.79208333333334,20.37666666666667,11.972083333333332,100.25270833333333,27.74625,317.065,Very Poor
2021-01-08,85.6825,98.72000000000001,5.31125,27.42375,16.098333333333333,84.89916666666666,0.31666666666666665,232.52374999999998,122.61916666666667,973.6825,330.80041666666665,200.18499999999997,67.6425,19.135416666666668,10.34625,99.023125,21.903333333333332,330.80041666666665,Very Poor
2021-01-09,113.335,126.34083333333332,6.724166666666666,29.96625,16.08875,81.16333333333334,0.33375,250.32583333333332,129.76708333333332,973.2708333333334,359.78999999999996,257.0445833333333,80.11583333333333,26.709166666666665,8.975,104.685,16.4725,359.78999999999996,Very Poor
2021-01-10,88.5125,102.22791666666666,4.685,18.0475,15.717083333333333,78.07583333333334,0.5941666666666666,276.01125,149.30333333333334,973.2804166666666,325.2425,185.02416666666667,70.86416666666666,19.6375,10.746250000000002,95.47291666666666,21.0775,325.2425,Very Poor
2021-01-11,96.23333333333333,113.8925,3.08375,8.311666666666666,14.363750000000001,77.19833333333334,0.6708333333333334,275.33625,154.145,972.6208333333334,313.8016666666667,167.2475,83.2175,14.9225,12.106666666666667,98.90083333333332,21.582083333333333,313.8016666666667,Very Poor
2021-01-12,127.46625,144.04125,6.1745833333333335,18.855,14.28375,79.2025,0.47833333333333333,268.58958333333334,142.84291666666667,972.2354166666668,333.03541666666666,190.73874999999998,94.29166666666667,17.03375,12.920416666666666,106.43916666666667,16.8225,333.03541666666666,Very Poor
2021-01-13,125.88499999999999,144.60541666666666,8.205833333333333,25.959999999999997,13.806666666666667,82.20166666666667,0.35833333333333334,196.88958333333335,142.82916666666668,972.2270833333333,383.501875,251.97916666666666,97.07229166666667,19.417916666666667,13.634583333333333,109.58125,20.75583333333333,378.3666666666666,Very Poor
2021-01-14,189.365,210.55166666666665,10.59,47.614583333333336,13.61125,81.6275,0.3670833333333334,176.11458333333334,144.2925,972.5033333333334,418.06958333333336,398.7716666666667,116.15625,35.24375,13.043333333333335,123.79124999999999,32.14354166666667,418.06958333333336,Severe
2021-01-15,217.06875,234.12708333333333,13.530833333333334,85.75291666666668,14.59625,81.88166666666666,0.41625,159.21,138.96291666666667,972.6262499999999,440.2504166666667,434.6404166666666,125.385,44.945,14.541666666666666,129.40833333333333,31.014791666666667,440.29583333333335,Severe
2021-01-16,195.95624999999998,215.39041666666665,12.127083333333333,126.75291666666668,14.56875,83.37666666666667,0.3825,202.49708333333334,125.42375,973.1395833333332,423.82958333333335,418.29875,114.07791666666667,34.29958333333333,14.628749999999998,116.78958333333333,16.079166666666666,423.97,Severe
2021-01-17,68.44416666666667,92.47458333333333,8.369583333333333,26.26625,13.718333333333334,84.43458333333334,0.5795833333333333,207.54125,133.48541666666668,973.2775,401.34041666666667,260.2895833333333,85.70541666666666,21.375416666666666,14.344166666666666,106.57583333333334,21.854583333333334,394.58666666666664,Severe
2021-01-18,28.709999999999997,50.5525,5.558333333333334,15.415,14.542916666666665,83.03208333333333,0.9779166666666668,144.4595833333333,136.28708333333333,973.2400000000001,392.40958333333333,230.98916666666665,62.09458333333333,22.25583333333333,12.2575,108.04145833333332,26.58083333333333,385.4816666666666,Very Poor
2021-01-19,239.59875,245.335,10.977083333333333,95.73458333333333,17.347083333333334,82.46583333333334,0.5354166666666667,207.46375,140.54916666666665,973.3575000000001,416.65166666666664,400.1041666666667,98.16604166666667,33.165416666666665,12.223333333333334,131.51083333333335,19.830833333333334,416.65166666666664,Severe
2021-01-20,124.58291666666666,141.75041666666667,8.31125,21.2575,17.87666666666667,81.26791666666666,0.5070833333333333,267.4841666666667,146.71083333333334,973.4691666666666,359.50708333333336,223.30166666666665,90.69083333333333,19.7625,12.649583333333334,106.27749999999999,16.224166666666665,359.50708333333336,Very Poor
2021-01-21,125.84041666666667,147.86458333333334,4.067916666666666,8.070833333333335,16.06416666666667,75.40125,0.5116666666666666,258.43125000000003,150.83083333333335,973.29,336.97499999999997,198.2408333333333,105.14708333333334,19.260833333333334,10.878749999999998,111.08999999999999,22.399583333333336,336.97499999999997,Very Poor
2021-01-22,217.81708333333333,223.545,6.8445833333333335,38.25208333333333,14.836666666666666,78.33999999999999,0.755,194.60875,138.74333333333334,973.3704166666666,385.741875,320.51875,113.01479166666667,18.907083333333333,10.7025,121.55833333333334,18.849999999999998,383.3908333333333,Very Poor
2021-01-23,31.965833333333332,53.80375,3.3870833333333334,11.914166666666667,14.45875,84.1075,1.2383333333333333,139.57583333333335,140.295,973.4804166666667,355.8279166666667,195.9595833333333,65.1375,14.3575,11.690416666666666,103.31083333333333,26.825833333333335,355.8279166666667,Very Poor
2021-01-24,98.67541666666666,113.03708333333333,4.03125,11.106250000000001,15.222083333333332,82.99625,0.6516666666666667,182.85,106.2575,973.4266666666667,386.34666666666664,271.47291666666666,76.40166666666666,15.814583333333333,11.031666666666666,110.73416666666667,15.765,386.34666666666664,Very Poor
2021-01-25,108.95458333333333,122.01666666666667,3.11,9.2875,14.116666666666667,84.90458333333333,0.3120833333333333,256.1204166666667,94.49708333333332,973.5395833333333,367.97166666666664,244.28625,77.39041666666667,16.184583333333332,10.823333333333332,105.73625,19.559583333333332,367.97166666666664,Very Poor
2021-01-26,197.27791666666667,200.27166666666668,8.133750000000001,32.11625,14.409166666666666,81.17333333333333,0.30916666666666665,231.73041666666666,141.29583333333332,973.1654166666667,379.91125000000005,272.40625,88.00125000000001,18.601666666666667,10.33875,120.42875,35.3675,379.91125000000005,Very Poor
2021-01-27,91.84416666666668,113.39583333333333,7.496666666666666,19.284583333333334,14.936250000000001,74.14958333333333,0.31375000000000003,233.85458333333335,150.6575,973.0079166666666,367.82750000000004,260.3279166666667,88.12791666666668,19.309583333333332,10.45375,107.90583333333332,21.938333333333333,367.82750000000004,Very Poor
2021-01-28,190.4725,209.81916666666666,9.230416666666667,52.24333333333333,14.924583333333333,74.28083333333333,0.3116666666666667,208.0175,150.11333333333334,971.84375,395.2320833333333,365.6620833333333,118.97208333333333,27.71875,10.52625,123.68124999999999,47.56791666666667,395.2320833333333,Severe
