Date,NO,NOx,Benzene,Toluene,AT,RH,WD,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2021-01-01,2.173684210526316,14.326842105263157,0.22894736842105262,1.3842105263157896,21.94736842105263,66.73736842105264,109.91157894736841,705.2110526315789,117.0657894736842,97.65131578947368,30.842105263157894,4.797894736842105,3.5642105263157893,17.400000000000002,43.502105263157894,71.08157894736841,Good
2021-01-02,2.23875,14.862916666666665,0.26708333333333334,1.6358333333333333,21.471249999999998,69.95125,108.18041666666666,705.2041666666668,128.3375,103.16708333333334,32.11083333333333,5.295833333333333,3.622916666666667,20.22041666666667,47.31020833333333,128.3375,Moderate
2021-01-03,2.225,14.980416666666668,0.26,1.6904166666666667,21.992083333333337,74.59666666666666,104.80833333333334,704.2591666666667,94.29124999999999,88.16145833333333,32.3975,3.7891666666666666,3.625833333333333,15.959583333333333,34.83166666666667,94.29124999999999,Satisfactory
2021-01-04,2.1679166666666667,14.466666666666667,0.22291666666666665,1.45,22.07625,75.86458333333333,105.78791666666666,703.7079166666667,68.51791666666666,66.22208333333333,31.195833333333336,3.9637499999999997,3.589166666666667,21.344583333333333,33.4,69.16625,Satisfactory
2021-01-05,2.25,15.45125,0.2708333333333333,1.9075,21.879583333333333,76.15166666666667,101.29,704.3341666666666,62.749583333333334,70.67041666666667,33.487500000000004,4.389166666666667,3.7279166666666668,24.19333333333333,34.567083333333336,70.67041666666667,Satisfactory
2021-01-06,2.1895833333333337,15.210416666666667,0.24583333333333335,1.7929166666666667,22.33458333333333,77.40583333333333,104.84625,704.1033333333334,40.82625,47.999583333333334,32.92166666666667,4.604166666666667,3.674583333333333,21.45,38.0325,50.874583333333334,Good
2021-01-07,2.185416666666667,15.645833333333334,0.24208333333333334,1.9958333333333333,21.583333333333332,85.92458333333333,106.77458333333334,703.4304166666667,32.04708333333333,32.63583333333333,33.94375,5.032916666666666,3.682916666666667,24.177916666666665,45.66791666666666,45.95916666666667,Good
2021-01-08,2.2104166666666667,15.809583333333334,0.25583333333333336,2.0770833333333334,22.471666666666668,79.80708333333334,112.52,701.9566666666666,45.36083333333334,55.55291666666667,34.3225,6.1000000000000005,3.702916666666667,20.45958333333333,40.52291666666667,55.55291666666667,Satisfactory
2021-01-09,2.1791666666666667,15.452083333333334,0.24749999999999997,1.9120833333333334,22.51,77.73625,114.46833333333332,702.6020833333333,49.717083333333335,62.037083333333335,33.485,5.455416666666667,3.655,23.07847222222222,34.67333333333333,62.037083333333335,Satisfactory
2021-01-10,2.2720833333333332,16.055416666666666,0.295,2.191666666666667,22.022499999999997,77.63250000000001,101.93583333333333,703.50375,61.81166666666667,76.51375,34.90291666666666,4.73125,3.7408333333333332,23.089027777777776,46.80791666666667,76.51375,Satisfactory
2021-01-11,2.216666666666667,15.33875,0.24833333333333332,1.8533333333333333,22.527916666666666,73.95625,99.70208333333333,704.0949999999999,69.29083333333334,77.89125,33.23083333333333,4.955416666666666,3.6637500000000003,24.56375,42.516666666666666,77.89125,Satisfactory
2021-01-12,2.288333333333333,16.260833333333334,0.2945833333333333,2.3008333333333333,21.951666666666668,73.18208333333332,96.72250000000001,704.5720833333334,73.91791666666667,87.37958333333334,35.407916666666665,5.0841666666666665,3.768333333333333,28.12375,35.77375,87.37958333333334,Satisfactory
2021-01-13,2.3466666666666667,16.145,0.3329166666666667,2.2408333333333332,21.577083333333334,71.96249999999999,100.70958333333334,704.4329166666666,88.58625,90.06041666666665,35.125,5.1937500000000005,3.73875,23.583333333333332,35.19416666666667,91.69166666666666,Satisfactory
2021-01-14,2.299166666666667,15.784583333333332,0.30125,2.066666666666667,21.837500000000002,71.33916666666667,94.49874999999999,704.1870833333334,82.25291666666666,82.39208333333333,34.267916666666665,4.677083333333333,3.7008333333333336,23.707916666666666,33.04291666666666,82.89458333333333,Satisfactory
2021-01-15,2.2125,15.45875,0.25083333333333335,1.92375,22.19125,71.29208333333334,101.11166666666666,703.8675,88.42083333333333,82.16708333333334,33.50333333333334,4.099583333333333,3.6791666666666667,18.849999999999998,42.85729166666667,88.42083333333333,Satisfactory
2021-01-16,2.17375,14.929166666666667,0.2225,1.67,22.49625,69.55041666666666,117.69333333333333,703.3958333333334,97.57383333333333,87.48958333333333,32.27375,3.9812499999999997,3.57625,16.140833333333333,36.842083333333335,95.81291666666665,Satisfactory
2021-01-17,2.174583333333333,15.894583333333335,0.22041666666666668,2.1141666666666667,22.755416666666665,68.27333333333333,120.74374999999999,703.235,94.67075,87.22250000000001,34.541666666666664,4.1825,3.577916666666667,15.71625,25.323333333333334,92.12791666666668,Satisfactory
2021-01-18,2.1341666666666668,14.645416666666668,0.2041666666666667,1.5270833333333333,22.356666666666666,62.803333333333335,109.70625,704.47125,80.69041666666666,74.92291666666667,31.59583333333333,4.4725,3.5500000000000003,16.4275,34.571666666666665,80.69041666666666,Satisfactory
2021-01-19,2.18875,14.86,0.23791666666666667,1.6295833333333334,25.342916666666667,63.90875,109.29083333333334,704.6862500000001,80.10333333333334,78.97291666666666,32.106249999999996,5.35625,3.61,18.31083333333333,37.82833333333333,80.1275,Satisfactory
2021-01-20,2.2495833333333333,15.380416666666667,0.2775,1.8770833333333332,26.346249999999998,65.2325,103.86791666666666,704.8345833333333,100.74708333333332,95.58541666666667,33.329166666666666,6.884166666666666,3.6487499999999997,20.01,39.34770833333334,100.63333333333333,Moderate
2021-01-21,2.2804166666666665,15.827083333333334,0.29083333333333333,2.0829166666666667,26.765833333333333,65.7825,106.61541666666666,704.9366666666666,103.51895833333333,94.14166666666667,34.384166666666665,6.5687500000000005,3.6595833333333334,22.094583333333333,33.16166666666667,103.18124999999999,Satisfactory
2021-01-22,2.2979166666666666,16.2275,0.30124999999999996,2.2691666666666666,24.294166666666666,65.215,126.97000000000001,704.7466666666666,87.60625,85.26333333333334,35.29958333333334,7.312083333333334,3.670833333333333,21.432916666666667,28.381666666666664,87.66250000000001,Satisfactory
2021-01-23,2.223333333333333,15.26,0.25625000000000003,1.8150000000000002,23.427083333333332,62.53916666666667,115.22666666666667,704.4562500000001,103.81833333333333,99.82708333333333,33.029583333333335,8.30125,3.6208333333333336,18.10625,29.091250000000002,101.30250000000001,Moderate
2021-01-24,2.224968944099379,15.430186335403727,0.2556832298136646,1.899472049689441,23.739254658385097,53.8860248447205,114.30071428571429,705.2012111801242,106.77201863354038,103.52593167701865,33.44562111801242,7.7904037267080755,3.639782608695652,21.621904761904762,39.422619047619044,63.760714285714286,Good
2021-01-25,2.217164461247637,15.397013232514178,0.2536862003780719,1.887013232514178,22.627164461247638,57.920964083175804,109.25652173913043,705.5401512287334,91.54822306238184,92.82680529300568,33.354536862003776,8.689035916824198,3.6301512287334594,17.78304347826087,43.27369565217391,89.38521739130435,Satisfactory
2021-01-26,2.2064593301435407,15.740287081339712,0.24636363636363634,2.041674641148325,22.600191387559807,57.4288038277512,117.28014354066985,705.4476076555023,86.86210526315789,87.9465071770335,34.15569377990431,6.06976076555024,3.604784688995215,17.812631578947368,31.661578947368422,75.04052631578948,Satisfactory
2021-01-27,2.2120833333333336,15.204166666666666,0.24791666666666667,1.7941666666666667,22.58375,54.796666666666674,103.15916666666668,705.3191666666667,92.515,89.95458333333333,32.900416666666665,7.4745833333333325,3.609166666666667,18.385833333333334,43.20395833333333,92.15708333333333,Satisfactory
2021-01-28,2.1954166666666666,14.978333333333333,0.24291666666666667,1.6849999999999998,22.29125,58.02291666666667,107.93166666666667,705.71375,133.12333333333333,103.51854166666668,32.37416666666667,7.562916666666666,3.5966666666666662,16.52541666666667,34.13125,133.12333333333333,Moderate
2021-01-29,2.2066666666666666,14.921666666666667,0.25166666666666665,1.6524999999999999,22.49625,61.63041666666667,116.12875000000001,705.9945833333333,146.24,106.89416666666666,32.23458333333333,6.359166666666667,3.5979166666666664,17.546666666666667,46.205000000000005,146.24,Moderate
2021-01-30,2.263333333333333,15.22375,0.2870833333333333,1.7975,22.917916666666667,61.60333333333333,114.69458333333334,705.8620833333333,162.14000000000001,116.30416666666667,32.96333333333333,6.559583333333333,3.6075,18.42125,37.57875,162.14000000000001,Moderate
