Date,NO,NOx,Benzene,Toluene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2023-10-27,4.03,16.34,3.2900000000000005,13.339999999999998,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.709999999999997,53.06,4.71,39.026666666666664,81.08666666666666,81.08666666666666,Satisfactory
2023-10-28,4.215416666666667,15.727083333333333,3.0812500000000003,13.470833333333333,0.84875,1.0491666666666666,26.379166666666666,62.2425,0.5691666666666667,223.5925,0.0,0.0,61.931666666666665,278.6147916666667,206.70583333333332,28.909583333333334,48.40479166666666,4.581666666666666,40.45875,78.62666666666667,185.63,Poor
2023-10-29,6.56375,18.475,3.0316666666666667,15.786666666666667,1.04125,1.335,26.83666666666667,59.63999999999999,0.6745833333333334,241.97958333333335,0.0,0.0,82.46375,135.4175,131.05708333333334,30.895,27.87,4.748333333333334,40.274166666666666,76.42875,144.09791666666666,Moderate
2023-10-30,5.585,15.057083333333333,3.216666666666667,27.464166666666667,2.1725,2.3179166666666666,26.450833333333332,62.97625,0.6341666666666667,245.08083333333332,0.0,0.0,82.47625000000001,133.08791666666667,129.41833333333332,24.70875,20.2075,4.864583333333333,35.459583333333335,75.40541666666667,135.69583333333333,Moderate
2023-10-31,3.984583333333333,11.842083333333333,2.2070833333333333,17.719166666666666,0.8883333333333333,0.9845833333333333,26.815416666666668,64.71916666666667,0.67625,256.7729166666667,0.0,0.0,81.29916666666666,147.57500000000002,125.80125,20.21708333333333,14.849583333333333,4.883333333333334,30.276666666666667,84.19875,147.57500000000002,Moderate
2023-11-01,3.8495833333333334,11.653333333333334,2.3191666666666664,14.566666666666668,0.7291666666666666,0.9125000000000001,27.42833333333333,66.68833333333333,0.69875,251.16666666666666,0.0,0.0,69.58291666666666,131.65791666666667,121.39625000000001,20.02541666666667,13.335,4.635416666666667,30.40833333333333,65.20583333333333,131.67666666666665,Moderate
2023-11-02,3.877083333333333,12.887500000000001,2.330416666666667,16.41625,1.1841666666666666,1.5650000000000002,28.44541666666667,68.33,0.5954166666666666,224.69041666666666,0.0,0.0,75.41833333333334,87.2525,101.11104166666667,23.016666666666666,11.661666666666667,3.5270833333333336,33.006875,50.240833333333335,100.50041666666668,Moderate
2023-11-03,3.8504166666666664,9.385416666666666,1.4045833333333333,14.997083333333334,0.6737500000000001,0.7683333333333334,29.13208333333333,71.08375,0.5441666666666667,185.72166666666666,0.0,0.0,76.32000000000001,45.633541666666666,65.93666666666667,14.8175,6.282916666666666,3.3837499999999996,16.78291666666667,40.461666666666666,65.93666666666667,Satisfactory
2023-11-04,4.59375,11.196666666666667,1.4641666666666666,16.064583333333335,0.7129166666666666,0.8983333333333333,28.884583333333335,74.41166666666668,0.5375,177.45583333333332,0.007916666666666667,0.007916666666666667,63.44541666666667,34.76416666666667,59.16375,17.525833333333335,3.025,2.9058333333333333,85.8675,37.331250000000004,94.01833333333333,Satisfactory
2023-11-05,5.221666666666667,10.831249999999999,1.1704166666666667,13.616666666666667,0.44166666666666665,0.48625,27.52625,80.535,0.6566666666666666,218.54333333333332,0.022083333333333333,0.022083333333333333,63.147083333333335,34.41791666666666,49.452916666666674,15.468333333333334,6.407916666666666,3.329166666666667,109.70604166666668,36.1825,104.77958333333333,Moderate
2023-11-06,4.855833333333333,11.615416666666667,1.7483333333333333,13.76625,0.5304166666666666,0.6604166666666667,27.811666666666667,78.05291666666666,0.7166666666666667,258.5525,0.0,0.0,63.349583333333335,73.149375,83.23791666666666,18.024166666666666,11.424583333333333,4.33375,79.67,58.13979166666667,109.60208333333333,Moderate
2023-11-07,4.003333333333333,12.52625,2.6633333333333336,14.008333333333333,0.7704166666666666,0.8816666666666667,28.00791666666667,71.78,0.6329166666666667,267.75916666666666,0.0,0.0,71.03125,196.988125,136.28833333333333,21.804166666666664,15.651666666666666,5.204583333333333,36.6675,72.99374999999999,194.29875,Moderate
2023-11-08,4.267916666666667,16.09958333333333,3.04625,14.223333333333334,1.71,1.6575,27.373333333333335,66.58958333333334,0.5358333333333333,220.64833333333334,0.0,0.0,76.65416666666667,192.82416666666666,142.05666666666667,29.680833333333336,29.3,4.909166666666667,38.82020833333333,80.53875000000001,192.82416666666666,Moderate
2023-11-09,4.547083333333333,16.559166666666666,3.6945833333333336,12.110416666666666,1.9970833333333333,1.7387499999999998,26.456666666666667,57.19875,0.6333333333333333,231.42624999999998,0.0,0.0,79.12833333333333,197.610625,150.33791666666667,30.223333333333333,50.98166666666666,4.500416666666667,48.540416666666665,81.48375,195.52874999999997,Moderate
2023-11-10,6.504166666666666,19.68,4.142916666666667,16.51875,3.5829166666666663,3.317083333333333,26.508750000000003,65.29791666666667,0.5854166666666666,243.55499999999998,0.0,0.0,76.32791666666667,229.47541666666666,163.19666666666666,33.82,30.825416666666666,4.818333333333333,53.90645833333334,73.38250000000001,229.47541666666666,Poor
2023-11-11,5.415416666666666,19.368750000000002,4.190416666666667,15.890416666666667,3.5245833333333336,3.3983333333333334,26.949583333333333,64.70791666666666,0.5966666666666667,240.44083333333333,0.0,0.0,74.11458333333333,247.47125000000003,173.36125,35.168749999999996,38.466249999999995,4.411666666666666,50.96812499999999,75.84895833333333,247.47125000000003,Poor
2023-11-12,8.460416666666667,22.000833333333333,4.8133333333333335,17.807083333333335,2.91,2.952083333333333,26.9825,62.72958333333333,0.5745833333333333,244.29541666666668,0.0,0.0,71.8975,273.20458333333335,186.76541666666665,35.53541666666667,40.28,5.3175,49.181875,81.54916666666666,273.20458333333335,Poor
2023-11-13,4.414583333333334,16.028333333333332,4.288333333333333,15.107083333333334,0.8937499999999999,1.0691666666666666,26.834166666666665,69.28208333333333,0.645,265.24875000000003,0.0,0.0,65.67291666666667,400.42625,328.6458333333333,29.243333333333336,32.44541666666667,6.37125,40.68604166666667,67.83749999999999,400.42625,Severe
2023-11-14,4.335,15.46,3.36875,15.839166666666666,1.0816666666666668,1.37,26.323333333333334,67.80833333333334,0.7054166666666667,263.8204166666667,0.0,0.0,64.98166666666667,284.8854166666667,175.52333333333334,28.054166666666664,13.949166666666668,5.18625,35.782916666666665,72.06958333333334,279.68041666666664,Poor
2023-11-15,4.892916666666666,15.703333333333333,2.8229166666666665,14.932916666666666,1.0870833333333334,1.4841666666666666,25.895,63.25458333333333,0.8891666666666667,270.19958333333335,0.0,0.0,64.43708333333333,187.63541666666666,147.84416666666667,27.5425,15.599166666666667,4.5375000000000005,32.268750000000004,79.96416666666667,187.83791666666664,Moderate
2023-11-16,2.160416666666667,8.228333333333333,1.9883333333333333,11.006666666666668,0.35041666666666665,0.38166666666666665,26.6125,61.21125,1.5108333333333333,322.9375,0.0,0.0,47.99916666666667,91.485,116.36541666666666,15.190416666666666,19.865416666666665,3.8995833333333336,30.675416666666667,77.48583333333333,116.36541666666666,Moderate
2023-11-17,2.473333333333333,7.799166666666667,2.2133333333333334,14.480833333333335,0.47208333333333335,0.48583333333333334,26.58666666666667,66.76208333333334,1.3175000000000001,280.50208333333336,0.0,0.0,55.967083333333335,69.89166666666667,97.77333333333333,13.20375,20.902916666666666,3.3320833333333333,34.93,53.885416666666664,96.66333333333334,Satisfactory
2023-11-18,4.726666666666667,11.312916666666666,2.47125,22.326666666666668,1.415,1.6754166666666668,27.192916666666665,73.06666666666666,0.6841666666666667,234.95083333333332,0.0,0.0,67.61541666666666,59.446666666666665,85.21791666666667,16.649166666666666,9.612083333333333,3.6704166666666667,30.940833333333334,46.619166666666665,85.21791666666667,Satisfactory
2023-11-19,2.0470833333333336,6.816666666666666,1.2550000000000001,18.71375,0.5604166666666667,0.52625,26.90041666666667,74.21124999999999,0.8570833333333333,248.68583333333333,0.0,0.0,67.99249999999999,44.01458333333333,71.165,12.105833333333335,9.452916666666667,3.485,23.25125,55.37625,76.67083333333333,Satisfactory
2023-11-20,2.19375,7.812083333333334,1.5687499999999999,20.957083333333333,0.66,0.5954166666666666,25.930833333333336,71.99374999999999,0.8041666666666667,241.03791666666666,0.0,0.0,64.53416666666666,68.72958333333334,91.15833333333335,14.352916666666665,13.052916666666667,3.422083333333333,24.219583333333333,48.35458333333333,91.15833333333335,Satisfactory
2023-11-21,2.537916666666667,8.091666666666667,1.3916666666666666,17.315,1.0850000000000002,0.8266666666666667,25.384583333333335,70.02125,0.6566666666666666,214.69333333333336,0.0,0.0,47.752916666666664,48.90020833333333,75.24541666666666,14.434583333333334,10.165416666666667,3.376666666666667,33.46333333333333,58.95333333333334,80.44416666666667,Satisfactory
2023-11-22,5.0175,14.941666666666668,2.860416666666667,14.367916666666666,1.5824999999999998,1.8041666666666665,25.53333333333333,73.85666666666667,0.48583333333333334,207.80708333333334,0.0,0.0,53.30041666666667,128.24854166666668,122.07041666666667,25.527916666666666,12.992916666666666,4.504583333333334,41.87854166666667,64.28,132.92083333333332,Moderate
2023-11-23,2.1220833333333333,11.265416666666667,4.335,13.13,1.7233333333333334,1.10625,25.700833333333335,72.25625000000001,0.53875,240.92458333333335,0.0,0.0,59.37958333333333,273.63708333333335,164.95958333333334,22.419166666666666,14.505,5.895416666666667,39.37083333333333,87.55125,273.63708333333335,Very Poor
2023-11-24,2.3216666666666668,12.067916666666667,4.5304166666666665,11.816666666666668,1.3683333333333334,1.085,25.226249999999997,69.15541666666667,0.5966666666666667,233.76666666666665,0.041666666666666664,0.041666666666666664,58.21208333333333,308.51625,178.88833333333332,24.009583333333335,14.025833333333333,6.150833333333334,42.085,87.54041666666666,308.51625,Very Poor
