Date,NO,NOx,Benzene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,TOT-RF,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2021-01-01,9.05,58.989999999999995,0.08,0.51,0.62,25.35,75.97,1.9200000000000002,145.96,0.0,0.01,999.9299999999998,156.67,104.88,62.239999999999995,5.52,6.12,78.70555555555556,11.348888888888888,78.70555555555556,Satisfactory
2021-01-02,6.519166666666667,45.79833333333334,0.09833333333333333,0.5495833333333333,0.5375,24.66333333333333,78.73416666666667,1.92,136.70083333333335,0.0,0.01,999.93,141.72875,103.88208333333334,49.00625,3.4029166666666666,6.240416666666667,69.57583333333334,9.62375,131.35875000000001,Moderate
2021-01-03,4.58875,38.6,0.09666666666666666,0.4791666666666667,0.3066666666666667,23.238333333333333,77.3475,1.9620833333333332,112.34958333333333,0.0,0.01,999.93,113.79666666666667,93.19895833333334,42.51541666666667,1.5008333333333335,6.649583333333333,58.83020833333333,9.665833333333333,113.79666666666667,Moderate
2021-01-04,6.715833333333333,53.04583333333333,0.06208333333333333,0.4070833333333333,0.48374999999999996,22.900000000000002,72.38375,1.92875,107.17416666666666,0.0,0.01,999.93,159.35708333333335,88.2025,57.731458333333336,10.22125,6.42875,80.67666666666666,9.3475,159.35708333333335,Moderate
2021-01-05,4.71875,37.78375,0.07166666666666667,0.6220833333333333,0.6104166666666667,22.698333333333334,71.71124999999999,2.013333333333333,92.11916666666667,0.0,0.01,999.93,144.24083333333334,94.35958333333333,41.31583333333334,15.35875,7.4870833333333335,66.60791666666667,14.754583333333334,144.24083333333334,Moderate
2021-01-06,4.7437499999999995,41.44041666666667,0.075,0.5645833333333333,0.4979166666666666,22.507499999999997,72.63166666666667,2.1416666666666666,112.84791666666666,0.0,0.01,999.93,167.08624999999998,105.25666666666666,45.870000000000005,12.839583333333332,6.444583333333333,80.43666666666667,12.360833333333332,167.08624999999998,Moderate
2021-01-07,6.384583333333333,48.278333333333336,0.0675,0.44375000000000003,0.4495833333333333,22.66875,74.33541666666666,2.1345833333333335,117.98333333333333,0.0,0.01,999.93,127.44166666666666,104.7625,52.22333333333333,15.91375,7.417083333333333,74.89833333333333,11.1975,127.44166666666666,Moderate
2021-01-08,6.521249999999999,50.13999999999999,0.08166666666666667,0.4691666666666667,0.6208333333333333,23.676666666666666,81.145,1.96,133.32416666666668,0.0,0.01,999.93,118.60875,104.09708333333333,54.32,13.419166666666667,8.31375,87.69666666666666,6.90125,118.60875,Moderate
2021-01-09,6.861249999999999,44.284166666666664,0.049166666666666664,0.47541666666666665,0.49416666666666664,23.815416666666668,84.65458333333333,1.9208333333333334,86.25291666666668,0.0,0.01,999.93,104.74541666666666,98.95166666666667,46.780833333333334,10.134583333333333,6.53,77.59958333333333,4.03375,105.58375000000001,Satisfactory
2021-01-10,8.762916666666667,38.78875,0.0425,0.42375,0.45625,24.271666666666665,84.44375000000001,1.9170833333333333,83.10791666666667,0.0,0.01,999.93,93.22604166666667,86.3325,37.53,8.670416666666666,4.851666666666667,77.27916666666667,1.7904166666666665,91.49791666666665,Satisfactory
2021-01-11,8.465833333333334,39.69083333333334,0.09541666666666666,0.5679166666666667,0.4495833333333333,25.10875,82.79541666666667,1.9229166666666666,129.68708333333333,0.0,0.01,999.93,105.93666666666667,90.28291666666667,39.03125,12.652083333333332,5.523333333333333,79.8125,3.1950000000000003,104.92083333333333,Moderate
2021-01-12,9.207083333333333,50.13958333333333,0.08208333333333333,0.5499999999999999,0.4604166666666667,25.380416666666665,80.86874999999999,1.9249999999999998,106.545,0.0,0.01,999.93,99.04625,91.90875,50.977916666666665,11.295833333333334,4.085,78.33458333333333,1.4875,99.04625,Satisfactory
2021-01-13,9.209583333333333,40.73083333333333,0.08666666666666667,1.5454166666666664,5.33625,25.1575,80.3225,1.9174999999999998,128.6675,0.0,0.013333333333333334,999.93,115.6675,93.02208333333333,39.405,16.556250000000002,4.200833333333333,70.63708333333334,3.0379166666666664,115.6675,Moderate
2021-01-14,12.445,36.909166666666664,0.13916666666666666,2.6704166666666667,8.22375,24.256666666666664,76.82791666666667,1.9204166666666664,136.67458333333335,0.0,0.01625,999.93,79.57791666666667,80.91791666666667,30.72791666666667,14.46625,6.182916666666666,65.37666666666667,1.5904166666666668,81.08583333333333,Satisfactory
