Date,NO,NOx,Benzene,Eth-Benzene,MP-Xylene,RH,WS,WD,RF,TOT-RF,SR,BP,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2022-09-19,2.67,5.05,0.32,10.01,10.01,86.91,0.84,194.36,0.22,0.22,62.32,748.94,48.18,49.72,4.51,1.77,8.92,10.88,12.43,12.43,Good
2022-09-20,2.84125,5.0112499999999995,1.0,10.01,10.01,84.49958333333333,0.8129166666666666,189.29999999999998,0.18625,0.18625,129.785,749.0245833333333,42.07375,45.319583333333334,4.093333333333333,1.77625,8.897083333333333,9.965,9.305416666666668,31.97791666666667,Good
2022-09-21,3.49375,5.458749999999999,0.4925,10.417499999999999,10.417499999999999,80.47583333333334,0.8579166666666667,195.86791666666667,0.01375,0.01375,200.41166666666666,749.275,34.34375,39.812916666666666,3.6983333333333337,1.7141666666666666,8.864583333333334,11.104583333333332,9.41,39.812916666666666,Good
2022-09-22,3.82625,5.764583333333333,0.0,15.401666666666666,15.401666666666666,80.18625,0.8120833333333334,196.27416666666667,0.00375,0.00375,179.97583333333333,749.3641666666667,25.56,35.793749999999996,3.6495833333333336,1.4962499999999999,8.433333333333334,8.807916666666666,11.015833333333333,35.793749999999996,Good
2022-09-23,4.65625,7.084583333333334,0.0,21.241666666666667,21.241666666666667,86.19083333333333,0.7174999999999999,191.05708333333334,0.0,0.0,143.37166666666667,749.3941666666666,36.077083333333334,45.0128125,4.742916666666667,1.4545833333333331,5.810833333333334,10.088333333333333,10.031666666666666,44.33208333333334,Good
2022-09-24,5.390833333333333,8.290000000000001,0.0,27.081666666666667,27.081666666666667,88.69625,0.7154166666666667,191.5220833333333,0.0,0.0,113.98750000000001,749.2658333333334,45.07125,52.266979166666665,5.638750000000001,1.4358333333333333,5.3862499999999995,11.19625,8.980416666666667,51.04916666666667,Satisfactory
2022-09-25,2.2537499999999997,4.047916666666667,0.0,32.924166666666665,32.924166666666665,89.19041666666668,0.8308333333333332,168.445,0.0,0.0,107.92083333333333,749.55125,38.300000000000004,47.26291666666666,3.3699999999999997,1.4245833333333333,5.2775,9.681666666666667,9.8175,46.24,Good
2022-09-26,1.9275,3.2312499999999997,0.0,38.765,38.765,87.58416666666666,0.7004166666666666,164.28291666666667,0.0,0.0,145.79625000000001,749.8345833333333,32.770833333333336,37.781666666666666,2.4475000000000002,1.4337499999999999,5.227083333333334,9.75625,10.52125,37.781666666666666,Good
2022-09-27,8.050416666666667,11.708333333333334,0.0,44.605,44.605,82.94791666666667,0.5604166666666667,190.05916666666667,0.0,0.0,173.68083333333334,749.6070833333333,59.98500000000001,72.46104166666667,7.03,1.4929166666666667,5.402083333333334,15.767083333333334,10.03875,72.05666666666666,Satisfactory
2022-09-28,3.93125,7.11,0.0,50.445,50.445,83.35958333333333,0.5283333333333333,178.28333333333333,0.0,0.0,159.05083333333334,749.2154166666666,63.867916666666666,68.95375,6.1570833333333335,1.4475,5.372916666666666,12.732083333333334,10.323333333333332,68.95375,Satisfactory
