Date,NO,NOx,Benzene,Toluene,RH,WS,WD,RF,TOT-RF,SR,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2021-01-01,1.5626315789473686,5.658947368421052,0.24,0.41,70.43315789473684,2.416315789473684,238.7878947368421,0.0,0.0,147.52526315789473,83.8021052631579,91.81736842105263,10.377894736842105,8.027368421052632,4.721052631578948,22.842105263157894,22.96315789473684,48.86578947368421,Good
2021-01-02,1.6458333333333333,6.154166666666666,0.24,0.41,70.21791666666667,2.4225,252.50249999999997,0.051666666666666666,0.051666666666666666,75.41041666666666,80.87666666666667,85.31416666666667,11.4,10.165833333333333,5.02375,26.681250000000002,20.987916666666667,85.60916666666667,Satisfactory
2021-01-03,1.7379166666666668,7.156666666666666,0.24,0.4054166666666667,70.13916666666667,2.4991666666666665,254.89791666666667,0.04833333333333334,0.04833333333333334,50.59291666666667,74.21,72.86291666666666,13.54125,14.49125,5.118333333333333,22.74875,28.02916666666667,74.64291666666666,Satisfactory
2021-01-04,2.1166666666666667,6.695833333333333,0.24,0.2791666666666667,70.19958333333334,2.405,254.1783333333333,0.0,0.0,83.39708333333333,51.98770833333333,62.70875,11.829166666666666,10.73375,5.139166666666667,21.847083333333334,22.23875,62.70875,Satisfactory
2021-01-05,2.3270833333333334,7.921250000000001,0.24,0.12416666666666666,70.19333333333333,1.96,255.57333333333335,1.55,1.55,54.99666666666667,39.96,50.26,14.248333333333333,9.897083333333333,5.05,29.404583333333335,23.756666666666664,50.48291666666666,Good
2021-01-06,3.37875,7.851666666666667,0.24,0.27458333333333335,70.61083333333333,1.2025,228.59208333333333,0.8962500000000001,0.8962500000000001,61.28,19.472916666666666,20.77125,11.999583333333334,6.201250000000001,4.5441666666666665,27.780833333333334,23.607083333333335,28.29375,Good
2021-01-07,4.831666666666666,9.052083333333334,0.24,0.23124999999999998,70.45375,1.2958333333333334,256.60791666666665,0.044583333333333336,0.044583333333333336,90.58749999999999,30.42,30.783749999999998,12.032916666666667,6.15375,4.565416666666667,27.481666666666666,20.085,32.57541666666667,Good
2021-01-08,4.377916666666667,8.335833333333333,0.24,0.22833333333333336,70.53666666666666,1.3658333333333335,246.02791666666667,0.0075,0.0075,86.105,23.77916666666667,30.973333333333333,11.228333333333333,7.6258333333333335,4.321666666666666,26.506666666666664,21.053333333333335,31.035416666666666,Good
2021-01-09,5.860833333333333,9.765,0.24,0.3333333333333333,70.57541666666667,1.3070833333333334,277.06125000000003,0.0,0.0,96.545,30.287499999999998,45.74375,11.7575,7.964166666666666,4.889583333333333,29.08666666666667,22.411666666666665,44.33208333333334,Good
2021-01-10,2.9295833333333334,8.2875,0.23875,0.29041666666666666,70.25958333333334,1.78,258.8775,0.0,0.0,107.09500000000001,56.39166666666667,63.37291666666667,13.934583333333334,9.050833333333333,5.677916666666667,25.5925,21.21125,62.92208333333334,Satisfactory
2021-01-11,2.442083333333333,8.327083333333333,0.17208333333333334,0.22791666666666666,70.125,2.2325,265.14875,0.0,0.0,97.27916666666668,72.59083333333334,79.23791666666666,14.96125,10.42625,5.739583333333333,24.42958333333333,26.08791666666667,79.23791666666666,Satisfactory
2021-01-12,2.381666666666667,9.541666666666666,0.10333333333333333,0.27,70.03583333333333,2.72,263.1879166666667,0.0,0.0,103.05833333333334,71.8775,88.22000000000001,17.86375,10.029583333333333,5.529166666666666,22.202083333333334,26.729583333333334,88.22000000000001,Satisfactory
2021-01-13,2.7825,9.191666666666666,0.12791666666666668,0.2333333333333333,70.19500000000001,2.3491666666666666,266.59541666666667,0.0,0.0,109.91541666666666,135.35458333333335,109.42458333333333,16.2625,10.139583333333333,6.09875,31.19666666666667,25.422916666666666,139.34416666666667,Moderate
2021-01-14,2.682916666666667,7.315,0.19208333333333336,0.18708333333333335,70.4525,1.9516666666666664,252.4125,0.0,0.0,123.71666666666668,111.14125,98.44666666666666,12.042083333333332,8.7175,10.459166666666667,26.942916666666665,27.940833333333334,112.25625000000001,Satisfactory
2021-01-15,2.2462500000000003,5.860416666666667,0.19000000000000003,0.14166666666666666,70.57375,2.0037499999999997,245.51833333333332,0.0,0.0,136.70624999999998,96.955,89.81958333333334,9.485416666666667,7.489999999999999,10.484583333333333,27.332083333333333,22.47666666666667,95.51291666666667,Satisfactory
2021-01-16,2.5879166666666666,6.82375,0.1825,0.16458333333333333,70.61166666666666,1.3825,242.42375,0.0,0.0,147.14666666666668,89.63291666666667,90.78125,10.994166666666667,8.284166666666666,5.360416666666667,28.042916666666667,18.938750000000002,90.78541666666666,Satisfactory
2021-01-17,2.825833333333333,7.326666666666667,0.17916666666666667,0.165,70.61125,1.3016666666666667,205.70875,0.0,0.0,151.46833333333333,62.922083333333326,75.56416666666667,11.754583333333334,8.059166666666666,4.412083333333333,26.514583333333334,13.996666666666668,75.56416666666667,Satisfactory
