Timestamp,AQI
2021-01-01,114.68299999999999
2021-01-02,349.09916666666663
2021-01-03,384.50416666666666
2021-01-04,261.14208333333335
2021-01-05,214.93708333333333
2021-01-06,268.75708333333336
2021-01-07,317.065
2021-01-08,330.80041666666665
2021-01-09,359.78999999999996
2021-01-10,325.2425
2021-01-11,313.8016666666667
2021-01-12,333.03541666666666
2021-01-13,378.3666666666666
2021-01-14,418.06958333333336
2021-01-15,440.29583333333335
2021-01-16,423.97
2021-01-17,394.58666666666664
2021-01-18,385.4816666666666
2021-01-19,416.65166666666664
2021-01-20,359.50708333333336
2021-01-21,336.97499999999997
2021-01-22,383.3908333333333
2021-01-23,355.8279166666667
2021-01-24,386.34666666666664
2021-01-25,367.97166666666664
2021-01-26,379.91125000000005
2021-01-27,367.82750000000004
2021-01-28,395.2320833333333
2021-01-29,413.57125
2021-01-30,353.50708333333336
2021-01-31,382.79333333333335
2021-02-01,407.43041666666664
2021-02-02,407.24
2021-02-03,385.9770833333334
2021-02-04,348.1958333333334
2021-02-05,176.63708333333332
2021-02-06,175.44625
2021-02-07,279.0620833333333
2021-02-08,346.4141666666667
2021-02-09,374.7166666666667
2021-02-10,398.15125000000006
2021-02-11,362.92083333333335
2021-02-12,374.8495833333333
2021-02-13,406.1141666666667
2021-02-14,409.4141666666667
2021-02-15,373.3620833333334
2021-02-16,363.5804166666667
2021-02-17,351.15083333333337
2021-02-18,345.68625
2021-02-19,354.8104166666667
2021-02-20,339.54041666666666
2021-02-21,335.34583333333336
2021-02-22,342.63208333333336
2021-02-23,314.0208333333333
2021-02-24,401.0025
2021-02-25,390.1991666666667
2021-02-26,300.3875
2021-02-27,265.61583333333334
2021-02-28,226.37249999999997
2021-03-01,173.70000000000002
2021-03-02,193.64791666666667
2021-03-03,187.57333333333335
2021-03-04,380.6225
2021-03-05,334.52208333333334
2021-03-06,202.66333333333333
2021-03-07,315.1608333333333
2021-03-08,248.53958333333333
2021-03-09,317.06958333333336
2021-03-10,216.43125
2021-03-11,313.40791666666667
2021-03-12,254.09958333333336
2021-03-13,259.98375
2021-03-14,232.09333333333333
2021-03-15,215.33124999999998
2021-03-16,231.74166666666667
2021-03-17,310.4783333333333
2021-03-18,337.8041666666667
2021-03-19,299.21583333333336
2021-03-20,261.21999999999997
2021-03-21,300.76708333333335
2021-03-22,234.82458333333332
2021-03-23,266.7995833333333
2021-03-24,205.30875
2021-03-25,165.835
2021-03-26,137.1325
2021-03-27,206.49875
2021-03-28,311.44625
2021-03-29,180.1783333333333
2021-03-30,280.7866666666667
2021-03-31,267.96208333333334
2021-04-01,179.4475
2021-04-02,185.47708333333333
2021-04-03,160.78416666666666
2021-04-04,153.52375
2021-04-05,231.10041666666666
2021-04-06,307.8566666666666
2021-04-07,265.50291666666664
2021-04-08,152.48916666666665
2021-04-09,147.52458333333334
2021-04-10,174.94375
2021-04-11,253.7733333333333
2021-04-12,291.70208333333335
2021-04-13,271.09875
2021-04-14,190.01666666666665
2021-04-15,193.29666666666665
2021-04-16,244.39125
2021-04-17,167.90416666666667
2021-04-18,143.9925
2021-04-19,143.95583333333335
2021-04-20,193.93625
2021-04-21,136.11125
2021-04-22,125.20375
2021-04-23,110.12458333333332
2021-04-24,98.78833333333334
2021-04-25,179.66875000000002
2021-04-26,310.4533333333333
2021-04-27,350.54749999999996
2021-04-28,395.82750000000004
2021-04-29,384.1483333333333
2021-04-30,287.38166666666666
2021-05-01,234.39125
2021-05-02,188.30833333333337
2021-05-03,244.80416666666667
2021-05-04,311.3975
2021-05-05,147.15458333333333
2021-05-06,141.0325
2021-05-07,145.54083333333332
2021-05-08,149.98749999999998
2021-05-09,149.5825
2021-05-10,116.835
2021-05-11,129.17083333333332
2021-05-12,126.87458333333335
2021-05-13,288.2275
2021-05-14,128.04166666666666
2021-05-15,126.73958333333333
2021-05-16,180.8708333333333
2021-05-17,198.86749999999998
2021-05-18,111.65375
2021-05-19,79.09833333333333
2021-05-20,66.24583333333334
2021-05-21,95.49125
2021-05-22,89.94958333333334
2021-05-23,313.0758333333333
2021-05-24,275.2370833333333
2021-05-25,121.96125
2021-05-26,141.07583333333335
2021-05-27,154.58208333333332
2021-05-28,113.90958333333333
2021-05-29,86.69333333333333
2021-05-30,102.12
2021-05-31,133.25375
2021-06-01,162.43291666666667
2021-06-02,165.02916666666667
2021-06-03,197.16208333333336
2021-06-04,275.40000000000003
2021-06-05,173.65083333333334
2021-06-06,161.98583333333332
2021-06-07,182.91083333333333
2021-06-08,296.79125
2021-06-09,385.8691666666667
2021-06-10,256.49083333333334
2021-06-11,162.03875
2021-06-12,150.85125
2021-06-13,111.10666666666667
2021-06-14,111.11208333333333
2021-06-15,109.61666666666667
2021-06-16,115.9425
2021-06-17,101.06583333333333
2021-06-18,117.52916666666665
2021-06-19,104.82625
2021-06-20,89.27958333333333
2021-06-21,119.48958333333333
2021-06-22,124.45958333333334
2021-06-23,197.69083333333333
2021-06-24,157.06125
2021-06-25,178.98041666666666
2021-06-26,175.74208333333334
2021-06-27,237.6341666666667
2021-06-28,212.44583333333333
2021-06-29,281.7575
2021-06-30,298.33625
2021-07-01,327.2416666666667
2021-07-02,281.3229166666667
2021-07-03,200.96124999999998
2021-07-04,231.5575
2021-07-05,283.2233333333333
2021-07-06,235.38
2021-07-07,227.0666666666667
2021-07-08,206.97958333333335
2021-07-09,175.26666666666665
2021-07-10,113.0
2021-07-11,113.63041666666668
2021-07-12,111.96
2021-07-13,157.50083333333333
2021-07-14,148.43541666666667
2021-07-15,112.82458333333334
2021-07-16,124.94833333333334
2021-07-17,127.88958333333333
2021-07-18,131.31708333333333
2021-07-19,91.52083333333333
2021-07-20,95.73041666666667
2021-07-21,109.86041666666667
2021-07-22,130.36499999999998
2021-07-23,102.59125
2021-07-24,122.36291666666666
2021-07-25,136.44625
2021-07-26,106.02833333333332
2021-07-27,114.44208333333334
2021-07-28,105.8875
2021-07-29,97.26875
2021-07-30,94.98625
2021-07-31,106.84666666666668
2021-08-01,106.13041666666668
2021-08-02,109.92875
2021-08-03,136.92749999999998
2021-08-04,111.73458333333333
2021-08-05,125.54458333333334
2021-08-06,145.09166666666667
2021-08-07,138.97125
2021-08-08,133.20708333333332
2021-08-09,110.08375000000001
2021-08-10,179.29458333333332
2021-08-11,280.9975
2021-08-12,253.3529166666667
2021-08-13,234.14791666666667
2021-08-14,222.59833333333333
2021-08-15,201.69125
2021-08-16,213.88625
2021-08-17,273.90916666666664
2021-08-18,278.58708333333334
2021-08-19,300.28875
2021-08-20,182.44916666666666
2021-08-21,77.01583333333333
2021-08-22,70.58833333333332
2021-08-23,124.76791666666666
2021-08-24,200.26375
2021-08-25,210.93166666666664
2021-08-26,237.95208333333335
2021-08-27,297.69166666666666
2021-08-28,262.19666666666666
2021-08-29,163.26624999999999
2021-08-30,141.30833333333334
2021-08-31,101.24166666666667
2021-09-01,68.57208333333334
2021-09-02,74.2675
2021-09-03,105.42916666666667
2021-09-04,134.475
2021-09-05,165.37625
2021-09-06,214.54708333333335
2021-09-07,144.59291666666667
2021-09-08,100.91208333333333
2021-09-09,79.91208333333334
2021-09-10,91.35125
2021-09-11,92.94458333333334
2021-09-12,92.455
2021-09-13,115.08291666666666
2021-09-14,105.08666666666666
